id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,ref_player_id
14483,85,Goal,0.8780000305175781,0.6370000076293946,0.29732999205589294,Chris Wood,h,4456,OpenPlay,2014,RightFoot,4750,Leicester,Everton,2,2,2014-08-16 15:00:00,,Rebound,4456
15961,82,MissedShots,0.8119999694824219,0.6140000152587891,0.029639700427651405,Chris Wood,h,4456,OpenPlay,2014,RightFoot,4651,Leicester,West Bromwich Albion,0,1,2014-11-01 15:00:00,Marcin Wasilewski,Pass,4456
16931,87,MissedShots,0.919000015258789,0.5420000076293945,0.3071489930152893,Chris Wood,a,4456,OpenPlay,2014,RightFoot,4663,Southampton,Leicester,2,0,2014-11-08 15:00:00,Marcin Wasilewski,HeadPass,4456
19816,92,MissedShots,0.7959999847412109,0.585,0.03318589925765991,Chris Wood,a,4456,OpenPlay,2014,LeftFoot,4607,Aston Villa,Leicester,2,1,2014-12-07 16:00:00,David Nugent,Dispossessed,4456
18436,69,MissedShots,0.850999984741211,0.620999984741211,0.05392270162701607,Chris Wood,a,4456,OpenPlay,2014,RightFoot,4642,Hull,Leicester,0,1,2014-12-28 15:00:00,Riyad Mahrez,Cross,4456
158877,86,MissedShots,0.8959999847412109,0.5590000152587891,0.08704090118408203,Chris Wood,a,4456,OpenPlay,2017,RightFoot,7147,Tottenham,Burnley,1,1,2017-08-27 16:00:00,Stephen Ward,Cross,4456
158876,86,SavedShot,0.925,0.43,0.049625199288129807,Chris Wood,a,4456,OpenPlay,2017,Head,7147,Tottenham,Burnley,1,1,2017-08-27 16:00:00,Ashley Westwood,Chipped,4456
158879,91,Goal,0.8730000305175781,0.585,0.06870400160551071,Chris Wood,a,4456,OpenPlay,2017,RightFoot,7147,Tottenham,Burnley,1,1,2017-08-27 16:00:00,Robbie Brady,Chipped,4456
159155,2,Goal,0.7130000305175781,0.4490000152587891,0.2215840071439743,Chris Wood,h,4456,OpenPlay,2017,RightFoot,7156,Burnley,Crystal Palace,1,0,2017-09-10 13:30:00,,BallRecovery,4456
159159,9,MissedShots,0.875,0.57,0.08303660154342651,Chris Wood,h,4456,OpenPlay,2017,RightFoot,7156,Burnley,Crystal Palace,1,0,2017-09-10 13:30:00,Stephen Ward,BallRecovery,4456
159211,22,MissedShots,0.914000015258789,0.5129999923706055,0.30998900532722473,Chris Wood,h,4456,OpenPlay,2017,Head,7174,Burnley,Huddersfield,0,0,2017-09-23 15:00:00,Stephen Ward,Cross,4456
159221,83,SavedShot,0.7669999694824219,0.5129999923706055,0.026669500395655632,Chris Wood,h,4456,OpenPlay,2017,RightFoot,7174,Burnley,Huddersfield,0,0,2017-09-23 15:00:00,,None,4456
160140,36,SavedShot,0.9030000305175782,0.45599998474121095,0.03307110071182251,Chris Wood,a,4456,SetPiece,2017,Head,7187,Everton,Burnley,0,1,2017-10-01 14:15:00,Nick Pope,Aerial,4456
160143,40,MissedShots,0.9219999694824219,0.5179999923706055,0.1380549967288971,Chris Wood,a,4456,OpenPlay,2017,Head,7187,Everton,Burnley,0,1,2017-10-01 14:15:00,Stephen Ward,Cross,4456
160418,12,SavedShot,0.8780000305175781,0.48,0.03529779985547066,Chris Wood,h,4456,OpenPlay,2017,Head,7190,Burnley,West Ham,1,1,2017-10-14 15:00:00,Steven Defour,Chipped,4456
