id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,ref_player_id
82448,84,MissedShots,0.860999984741211,0.34900001525878904,0.07785099744796753,Christian Pulisic,h,2662,OpenPlay,2015,RightFoot,1270,Borussia Dortmund,Werder Bremen,3,2,2016-04-02 20:30:00,Julian Weigl,Pass,2662
82626,3,SavedShot,0.9030000305175782,0.46,0.04236850142478943,Christian Pulisic,a,2662,OpenPlay,2015,Head,1280,Schalke 04,Borussia Dortmund,2,2,2016-04-10 17:30:00,Erik Durm,Aerial,2662
82629,22,MissedShots,0.9369999694824219,0.34700000762939454,0.12063200026750565,Christian Pulisic,a,2662,OpenPlay,2015,RightFoot,1280,Schalke 04,Borussia Dortmund,2,2,2016-04-10 17:30:00,Sven Bender,TakeOn,2662
82869,20,BlockedShot,0.845999984741211,0.5479999923706055,0.04745839908719063,Christian Pulisic,h,2662,OpenPlay,2015,RightFoot,1289,Borussia Dortmund,Hamburger SV,3,0,2016-04-17 17:30:00,Matthias Ginter,Cross,2662
82871,37,Goal,0.9,0.6430000305175781,0.05576489865779877,Christian Pulisic,h,2662,FromCorner,2015,RightFoot,1289,Borussia Dortmund,Hamburger SV,3,0,2016-04-17 17:30:00,Mats Hummels,Pass,2662
83188,19,BlockedShot,0.8819999694824219,0.6519999694824219,0.06699799746274948,Christian Pulisic,a,2662,OpenPlay,2015,LeftFoot,1292,VfB Stuttgart,Borussia Dortmund,0,3,2016-04-23 17:30:00,Marco Reus,Pass,2662
83197,44,Goal,0.91,0.5309999847412109,0.4647200107574463,Christian Pulisic,a,2662,OpenPlay,2015,LeftFoot,1292,VfB Stuttgart,Borussia Dortmund,0,3,2016-04-23 17:30:00,,Rebound,2662
83620,68,MissedShots,0.899000015258789,0.6869999694824219,0.05758960172533989,Christian Pulisic,a,2662,OpenPlay,2015,LeftFoot,1313,Eintracht Frankfurt,Borussia Dortmund,1,0,2016-05-07 17:30:00,Adrián Ramos,Pass,2662
128202,53,Goal,0.9,0.40799999237060547,0.48405399918556213,Christian Pulisic,h,2662,OpenPlay,2016,LeftFoot,1350,Borussia Dortmund,Darmstadt,6,0,2016-09-17 17:30:00,,None,2662
128207,76,SavedShot,0.955999984741211,0.5940000152587891,0.06054279953241348,Christian Pulisic,h,2662,OpenPlay,2016,Head,1350,Borussia Dortmund,Darmstadt,6,0,2016-09-17 17:30:00,Sebastian Rode,Chipped,2662
128210,80,MissedShots,0.825999984741211,0.7580000305175781,0.017944399267435074,Christian Pulisic,h,2662,OpenPlay,2016,RightFoot,1350,Borussia Dortmund,Darmstadt,6,0,2016-09-17 17:30:00,Emre Mor,TakeOn,2662
128634,92,SavedShot,0.7769999694824219,0.3,0.031012799590826035,Christian Pulisic,h,2662,OpenPlay,2016,RightFoot,1363,Borussia Dortmund,Freiburg,3,1,2016-09-23 22:30:00,Sebastian Rode,Pass,2662
129084,94,MissedShots,0.909000015258789,0.24200000762939453,0.03396829962730408,Christian Pulisic,h,2662,OpenPlay,2016,RightFoot,1381,Borussia Dortmund,Hertha Berlin,1,1,2016-10-14 22:30:00,Shinji Kagawa,Pass,2662
129416,82,MissedShots,0.8969999694824219,0.37900001525878907,0.029794499278068542,Christian Pulisic,a,2662,OpenPlay,2016,Head,1391,Ingolstadt,Borussia Dortmund,3,3,2016-10-22 17:30:00,Felix Passlack,Chipped,2662
129421,90,Goal,0.9840000152587891,0.4620000076293945,0.9355739951133728,Christian Pulisic,a,2662,OpenPlay,2016,RightFoot,1391,Ingolstadt,Borussia Dortmund,3,3,2016-10-22 17:30:00,,Rebound,2662
129751,52,MissedShots,0.919000015258789,0.3940000152587891,0.0508355014026165,Christian Pulisic,h,2662,OpenPlay,2016,Head,3305,Borussia Dortmund,Schalke 04,0,0,2016-10-29 20:30:00,Lukasz Piszczek,Cross,2662
129754,57,MissedShots,0.8919999694824219,0.509000015258789,0.09705460071563721,Christian Pulisic,h,2662,OpenPlay,2016,LeftFoot,3305,Borussia Dortmund,Schalke 04,0,0,2016-10-29 20:30:00,Felix Passlack,Cross,2662
129757,66,MissedShots,0.7980000305175782,0.4929999923706055,0.03498389944434166,Christian Pulisic,h,2662,SetPiece,2016,RightFoot,3305,Borussia Dortmund,Schalke 04,0,0,2016-10-29 20:30:00,,None,2662
129630,26,MissedShots,0.8780000305175781,0.5629999923706055,0.10259799659252167,Christian Pulisic,a,2662,OpenPlay,2016,RightFoot,2807,Hamburger SV,Borussia Dortmund,2,5,2016-11-05 18:30:00,Pierre-Emerick Aubameyang,BallTouch,2662
130369,87,SavedShot,0.96,0.34700000762939454,0.13317200541496277,Christian Pulisic,h,2662,OpenPlay,2016,RightFoot,3194,Borussia Dortmund,Borussia M.Gladbach,4,1,2016-12-03 18:30:00,Matthias Ginter,TakeOn,2662
131741,43,BlockedShot,0.8959999847412109,0.43,0.07522380352020264,Christian Pulisic,h,2662,OpenPlay,2016,LeftFoot,3222,Borussia Dortmund,Augsburg,1,1,2016-12-20 23:00:00,,None,2662
131753,86,SavedShot,0.875,0.2620000076293945,0.0317545011639595,Christian Pulisic,h,2662,OpenPlay,2016,RightFoot,3222,Borussia Dortmund,Augsburg,1,1,2016-12-20 23:00:00,Mario Götze,Pass,2662
130746,36,SavedShot,0.914000015258789,0.46700000762939453,0.2433609962463379,Christian Pulisic,a,2662,OpenPlay,2016,RightFoot,3726,Werder Bremen,Borussia Dortmund,1,2,2017-01-21 14:30:00,,TakeOn,2662
